control_id,function,met
GV.OC-01,GOVERN,False
GV.OC-02,GOVERN,False
GV.OC-03,GOVERN,True
GV.OC-04,GOVERN,False
GV.OC-05,GOVERN,False
GV.RM-01,GOVERN,False
GV.RM-02,GOVERN,False
GV.RM-03,GOVERN,False
GV.RM-04,GOVERN,False
GV.RM-05,GOVERN,False
GV.RM-06,GOVERN,False
GV.RM-07,GOVERN,False
GV.RR-01,GOVERN,False
GV.RR-02,GOVERN,True
GV.RR-03,GOVERN,False
GV.RR-04,GOVERN,False
GV.PO-01,GOVERN,False
GV.PO-02,GOVERN,True
GV.OV-01,GOVERN,False
GV.OV-02,GOVERN,True
GV.OV-03,GOVERN,False
GV.SC-01,GOVERN,False
GV.SC-02,GOVERN,False
GV.SC-03,GOVERN,False
GV.SC-04,GOVERN,False
GV.SC-05,GOVERN,False
GV.SC-06,GOVERN,False
GV.SC-07,GOVERN,False
GV.SC-08,GOVERN,False
GV.SC-09,GOVERN,False
GV.SC-10,GOVERN,False
ID.AM-1,IDENTIFY,False
ID.AM-2,IDENTIFY,False
ID.AM-3,IDENTIFY,False
ID.AM-4,IDENTIFY,False
ID.AM-5,IDENTIFY,False
ID.AM-7,IDENTIFY,True
ID.AM-8,IDENTIFY,False
ID.RA-01,IDENTIFY,False
ID.RA-02,IDENTIFY,False
ID.RA-03,IDENTIFY,False
ID.RA-04,IDENTIFY,False
ID.RA-05,IDENTIFY,False
ID.RA-06,IDENTIFY,False
ID.RA-07,IDENTIFY,False
ID.RA-08,IDENTIFY,True
ID.RA-09,IDENTIFY,False
ID.RA-10,IDENTIFY,False
ID.IM-01,IDENTIFY,False
ID.IM-02,IDENTIFY,False
ID.IM-03,IDENTIFY,False
ID.IM-04,IDENTIFY,True
PR.AA-01,PROTECT,False
PR.AA-02,PROTECT,False
PR.AA-03,PROTECT,False
PR.AA-04,PROTECT,False
PR.AA-05,PROTECT,True
PR.AA-06,PROTECT,False
PR.AT-01,PROTECT,True
PR.AT-02,PROTECT,False
PR.DS-01,PROTECT,True
PR.DS-02,PROTECT,True
PR.DS-10,PROTECT,True
PR.DS-11,PROTECT,True
PR.PS-01,PROTECT,False
PR.PS-02,PROTECT,False
PR.PS-03,PROTECT,False
PR.PS-04,PROTECT,False
PR.PS-05,PROTECT,False
PR.PS-06,PROTECT,False
PR.IR-01,PROTECT,False
PR.IR-02,PROTECT,False
PR.IR-03,PROTECT,False
PR.IR-04,PROTECT,False
DE.AE-02,DETECT,False
DE.AE-03,DETECT,False
DE.AE-04,DETECT,False
DE.AE-06,DETECT,True
DE.AE-07,DETECT,False
DE.AE-08,DETECT,False
DE.CM-01,DETECT,False
DE.CM-02,DETECT,False
DE.CM-03,DETECT,True
DE.CM-06,DETECT,False
DE.CM-09,DETECT,False
RS.MA-01,RESPOND,False
RS.MA-02,RESPOND,False
RS.MA-03,RESPOND,False
RS.MA-04,RESPOND,False
RS.MA-05,RESPOND,False
RS.CO-02,RESPOND,False
RS.CO-03,RESPOND,False
RS.AN-03,RESPOND,False
RS.AN-06,RESPOND,False
RS.AN-07,RESPOND,True
RS.AN-08,RESPOND,False
RS.MI-01,RESPOND,False
RS.MI-02,RESPOND,False
RC.RP-01,RECOVER,False
RC.RP-02,RECOVER,False
RC.RP-03,RECOVER,False
RC.RP-04,RECOVER,False
RC.RP-05,RECOVER,False
RC.RP-06,RECOVER,False
RC.CO-03,RECOVER,False
RC.CO-04,RECOVER,False
